"id";"uri";"nomParlamentar";"cargo";"siglaUf";"municipio";"anoInicio";"anoFim";"siglaPartidoEleicao";"uriPartidoEleicao"
"74086";"https://dadosabertos.camara.leg.br/api/v2/deputados/74086";"UBALDO CORRÊA";"Deputado(a) Estadual";"PA";"";"1963";"1967";"UDN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36854"
"74086";"https://dadosabertos.camara.leg.br/api/v2/deputados/74086";"UBALDO CORRÊA";"Deputado(a) Estadual";"PA";"";"1971";"1975";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73563";"https://dadosabertos.camara.leg.br/api/v2/deputados/73563";"USHITARO KAMIA";"Vereador(a)";"SP";"";"1989";"1993";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"73563";"https://dadosabertos.camara.leg.br/api/v2/deputados/73563";"USHITARO KAMIA";"Vereador(a)";"SP";"";"1993";"1995";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"74437";"https://dadosabertos.camara.leg.br/api/v2/deputados/74437";"VICENTE ANDRÉ GOMES";"Vereador(a)";"PE";"";"1985";"1988";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74437";"https://dadosabertos.camara.leg.br/api/v2/deputados/74437";"VICENTE ANDRÉ GOMES";"Vereador(a)";"PE";"";"1989";"1993";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74437";"https://dadosabertos.camara.leg.br/api/v2/deputados/74437";"VICENTE ANDRÉ GOMES";"Vereador(a)";"PE";"";"1993";"1995";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"73644";"https://dadosabertos.camara.leg.br/api/v2/deputados/73644";"WELSON GASPARINI";"Vereador(a)";"SP";"";"1960";"1963";"PDC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36783"
"73644";"https://dadosabertos.camara.leg.br/api/v2/deputados/73644";"WELSON GASPARINI";"Prefeito(a)";"SP";"";"1964";"1969";"PRP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36824"
"73644";"https://dadosabertos.camara.leg.br/api/v2/deputados/73644";"WELSON GASPARINI";"Deputado(a) Estadual";"SP";"";"1971";"1973";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73644";"https://dadosabertos.camara.leg.br/api/v2/deputados/73644";"WELSON GASPARINI";"Prefeito(a)";"SP";"";"1973";"1977";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73644";"https://dadosabertos.camara.leg.br/api/v2/deputados/73644";"WELSON GASPARINI";"Prefeito(a)";"SP";"";"1989";"1992";"PDC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36783"
"74438";"https://dadosabertos.camara.leg.br/api/v2/deputados/74438";"WILSON CAMPOS";"Senador(a)";"PE";"";"1970";"1975";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74438";"https://dadosabertos.camara.leg.br/api/v2/deputados/74438";"WILSON CAMPOS";"Deputado(a) Estadual";"PE";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74536";"https://dadosabertos.camara.leg.br/api/v2/deputados/74536";"BETO LÉLIS";"Prefeito(a)";"BA";"";"1989";"1992";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"74536";"https://dadosabertos.camara.leg.br/api/v2/deputados/74536";"BETO LÉLIS";"Prefeito(a)";"BA";"";"1997";"2000";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"74543";"https://dadosabertos.camara.leg.br/api/v2/deputados/74543";"FERNANDO GOMES";"Prefeito(a)";"BA";"";"1977";"1983";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74543";"https://dadosabertos.camara.leg.br/api/v2/deputados/74543";"FERNANDO GOMES";"Prefeito(a)";"BA";"";"1989";"1993";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74543";"https://dadosabertos.camara.leg.br/api/v2/deputados/74543";"FERNANDO GOMES";"Prefeito(a)";"BA";"";"1997";"2000";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"74071";"https://dadosabertos.camara.leg.br/api/v2/deputados/74071";"ANA JÚLIA";"Vereador(a)";"PA";"";"1993";"1995";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844"
"74071";"https://dadosabertos.camara.leg.br/api/v2/deputados/74071";"ANA JÚLIA";"Vice-Prefeito(a)";"PA";"";"1997";"2000";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844"
"74204";"https://dadosabertos.camara.leg.br/api/v2/deputados/74204";"MAGNO BACELAR";"Deputado(a) Estadual";"MA";"";"1963";"1967";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834"
